"level","start_date","end_date","lower_age_limit","geography","geography_code","proportion_pos","proportion_pos_high_95","proportion_pos_low_95","population"
"age_school","2020-09-16","2020-09-16",70,"England","E92000001",9e-04,0.0013,6e-04,7679719
"age_school","2020-09-17","2020-09-17",2,"England","E92000001",0.0014,0.0023,8e-04,6254603
"age_school","2020-09-17","2020-09-17",11,"England","E92000001",0.0021,0.0034,0.0012,3370248
"age_school","2020-09-17","2020-09-17",16,"England","E92000001",0.0029,0.0045,0.002,5950637
"age_school","2020-09-17","2020-09-17",25,"England","E92000001",0.0018,0.0027,0.0012,7596145
"age_school","2020-09-17","2020-09-17",35,"England","E92000001",0.0013,0.0018,9e-04,10853151
"age_school","2020-09-17","2020-09-17",50,"England","E92000001",0.0012,0.0016,8e-04,13618246
"age_school","2020-09-17","2020-09-17",70,"England","E92000001",9e-04,0.0014,6e-04,7679719
"age_school","2020-09-18","2020-09-18",2,"England","E92000001",0.0014,0.0022,8e-04,6254603
"age_school","2020-09-18","2020-09-18",11,"England","E92000001",0.0022,0.0036,0.0013,3370248
"age_school","2020-09-18","2020-09-18",16,"England","E92000001",0.0031,0.0048,0.0021,5950637
"age_school","2020-09-18","2020-09-18",25,"England","E92000001",0.0019,0.0028,0.0012,7596145
"age_school","2020-09-18","2020-09-18",35,"England","E92000001",0.0014,0.0019,9e-04,10853151
"age_school","2020-09-18","2020-09-18",50,"England","E92000001",0.0012,0.0017,9e-04,13618246
"age_school","2020-09-18","2020-09-18",70,"England","E92000001",0.001,0.0015,7e-04,7679719
"age_school","2020-09-19","2020-09-19",2,"England","E92000001",0.0013,0.0022,8e-04,6254603
"age_school","2020-09-19","2020-09-19",11,"England","E92000001",0.0023,0.0038,0.0014,3370248
"age_school","2020-09-19","2020-09-19",16,"England","E92000001",0.0034,0.0051,0.0023,5950637
"age_school","2020-09-19","2020-09-19",25,"England","E92000001",0.0019,0.0029,0.0013,7596145
"age_school","2020-09-19","2020-09-19",35,"England","E92000001",0.0015,0.002,0.001,10853151
"age_school","2020-09-19","2020-09-19",50,"England","E92000001",0.0013,0.0018,9e-04,13618246
"age_school","2020-09-19","2020-09-19",70,"England","E92000001",0.0011,0.0016,7e-04,7679719
"age_school","2020-09-20","2020-09-20",2,"England","E92000001",0.0016,0.0025,0.001,6254603
"age_school","2020-09-20","2020-09-20",11,"England","E92000001",0.0028,0.0041,0.0018,3370248
"age_school","2020-09-20","2020-09-20",16,"England","E92000001",0.0044,0.0061,0.0031,5950637
"age_school","2020-09-20","2020-09-20",25,"England","E92000001",0.0023,0.0033,0.0016,7596145
