"WeekEndDate"	"LTLA"	"Lineage"	"Count"
"2020-09-05"	"E07000207"	"B.1.1.37"	2
"2020-09-05"	"E07000207"	"B.1.160"	2
"2020-09-05"	"E07000207"	"B.1.177"	1
"2020-09-05"	"E07000207"	"B.1.177.83"	1
"2020-09-05"	"E07000207"	"B.1.221"	1
"2020-09-05"	"E07000207"	"B.1.258"	2
"2020-09-05"	"E07000207"	"B.1.367"	1
"2020-09-05"	"E07000207"	"C.30"	1
"2020-09-05"	"E07000208"	"AD.2"	2
"2020-09-05"	"E07000208"	"B.1.367"	1
"2020-09-05"	"E07000208"	"B.1.389"	1
"2020-09-05"	"E07000209"	"B.1.1.37"	2
"2020-09-05"	"E07000209"	"B.1.1.70"	3
"2020-09-05"	"E07000209"	"B.1.177"	1
"2020-09-05"	"E07000210"	"AD.2"	1
"2020-09-05"	"E07000210"	"B.1.1.37"	1
"2020-09-05"	"E07000210"	"B.1.258"	1
"2020-09-05"	"E07000210"	"C.35"	1
"2020-09-05"	"E07000211"	"AD.2"	4
"2020-09-05"	"E07000211"	"B.1"	1
"2020-09-05"	"E07000211"	"B.1.1.269"	1
"2020-09-05"	"E07000211"	"B.1.177"	5
"2020-09-05"	"E07000211"	"C.35"	1
"2020-09-05"	"E07000212"	"B.1.160"	1
"2020-09-05"	"E07000212"	"B.1.258"	1
"2020-09-05"	"E07000212"	"B.1.36.12"	1
"2020-09-05"	"E07000213"	"B.1.1"	3
"2020-09-05"	"E07000213"	"B.1.1.187"	1
"2020-09-05"	"E07000213"	"B.1.1.241"	1
"2020-09-05"	"E07000213"	"B.1.1.277"	1
"2020-09-05"	"E07000213"	"B.1.1.37"	1
"2020-09-05"	"E07000213"	"B.1.177"	4
"2020-09-05"	"E07000214"	"B.1.1.294"	1
"2020-09-05"	"E07000214"	"B.1.1.433"	1
"2020-09-05"	"E07000214"	"B.1.160"	1
"2020-09-05"	"E07000214"	"B.1.177"	1
"2020-09-05"	"E07000214"	"C.35"	1
"2020-09-05"	"E07000215"	"Lineage data suppressed"	2
"2020-09-05"	"E07000216"	"AD.2"	1
"2020-09-05"	"E07000216"	"B.1.1.37"	4
"2020-09-05"	"E07000216"	"B.1.177"	2
"2020-09-05"	"E07000217"	"B.1.1.269"	1
"2020-09-05"	"E07000217"	"B.1.1.37"	1
